STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
      15000;20110401;   10;  14.5;-999;   10;   0.0;   6;    0.100;   0;   7.2;  12.8;  993.90;   13.3;   84.00;   16.2;   11.0;    9.2;eor
      15000;20110402;   10;  11.9;-999;   10;   0.0;   0;   10.900;   0;   3.8;  11.4;  987.40;   16.8;   63.00;   23.1;    8.8;    4.2;eor
      15000;20110403;   10;   8.6;-999;   10;   9.9;   6;    0.500;   0;   7.3;  11.5;  986.40;   10.8;   89.00;   12.8;    8.3;    7.9;eor
      15000;20110404;   10;  12.9;-999;   10;   0.0;   6;    2.700;   0;   6.5;   9.1;  993.50;    9.2;   78.00;   12.8;    5.4;    3.2;eor
      15000;20110405;   10;  14.2;-999;   10;   0.9;   6;    0.100;   0;   6.5;   8.0;  997.50;    8.8;   71.00;   13.2;    5.0;    3.1;eor
      15000;20110406;   10;  11.6;-999;   10;   0.0;   0;    9.100;   0;   5.7;  12.8;  999.50;   15.1;   74.00;   20.1;   10.3;    9.3;eor
      15000;20110407;   10;  11.3;-999;   10;   0.0;   0;    9.700;   0;   3.8;  11.7;  997.90;   15.0;   70.00;   19.2;    8.0;    5.6;eor
      15000;20110408;   10;   7.7;-999;   10;   0.0;   0;    7.600;   0;   2.8;   9.8;  997.80;   11.4;   74.00;   16.8;    6.3;    3.5;eor
      15000;20110409;   10;   6.6;-999;   10;   0.0;   0;    9.700;   0;   2.3;   7.7;  997.30;    9.9;   66.00;   15.9;    4.6;    1.5;eor
      15000;20110410;   10;   8.2;-999;   10;   0.0;   0;   10.700;   0;   1.2;   8.2;  995.90;   12.0;   61.00;   19.0;    4.8;    2.0;eor
      15000;20110411;   10;  15.7;-999;   10;   2.1;   6;    8.300;   0;   4.9;   9.7;  992.50;   15.6;   55.00;   22.4;    9.0;    4.1;eor
      15000;20110412;   10;  16.7;-999;   10;   1.9;   8;    6.400;   0;   4.8;   8.0;  995.90;    7.4;   78.00;   10.6;    2.9;    1.1;eor
      15000;20110413;   10;  10.4;-999;   10;   0.0;   0;    6.500;   0;   4.0;   6.6;  994.90;    7.2;   67.00;   12.4;    1.9;   -0.3;eor
      15000;20110414;   10;   6.0;-999;   10;   0.0;   0;    1.600;   0;   7.3;   6.7;  991.40;    8.5;   62.00;   12.2;    5.4;    1.5;eor
      15000;20110415;   10;   8.5;-999;   10;   0.0;   0;   11.400;   0;   2.2;   6.1;  992.60;    9.5;   54.00;   14.1;    2.6;   -2.1;eor
      15000;20110416;   10;   5.5;-999;   10;   0.0;   0;    5.400;   0;   5.8;   6.1;  994.60;   10.4;   49.00;   15.6;    4.9;    0.3;eor
      15000;20110417;   10;   9.9;-999;   10;   0.0;   0;    9.400;   0;   4.0;   6.0;  996.30;   11.6;   45.00;   16.0;    5.9;    0.6;eor
      15000;20110418;   10;   9.3;-999;   10;   0.0;   0;   12.900;   0;   1.3;   6.8;  991.70;   12.7;   48.00;   19.9;    4.5;    0.2;eor
      15000;20110419;   10;   7.8;-999;   10;   0.0;   0;   12.400;   0;   0.9;   7.7;  987.90;   16.8;   41.00;   23.0;   11.3;    5.7;eor
      15000;20110420;   10;   7.4;-999;   10;   0.0;   0;   12.800;   0;   0.5;   7.5;  987.90;   16.7;   41.00;   22.8;    9.8;    4.6;eor
      15000;20110421;   10;   7.0;-999;   10;   0.0;   0;   12.100;   0;   2.0;   7.8;  987.10;   18.8;   37.00;   24.7;   12.3;    6.6;eor
      15000;20110422;   10;  11.8;-999;   10;   0.2;   6;    5.200;   0;   3.1;  10.0;  983.30;   17.3;   51.00;   24.5;   10.8;    6.4;eor
      15000;20110423;   10;   9.7;-999;   10;   0.0;   0;    6.400;   0;   3.7;  11.0;  983.90;   18.0;   54.00;   24.2;   10.7;    6.4;eor
      15000;20110424;   10;   7.4;-999;   10;   0.0;   0;   12.100;   0;   0.9;  10.6;  988.30;   17.7;   54.00;   23.2;    9.3;    5.5;eor
      15000;20110425;   10;  10.3;-999;   10;   0.0;   0;   13.400;   0;   0.1;   8.0;  991.80;   15.9;   47.00;   22.0;    9.5;    3.7;eor
